seed,P,n_steps,burn_in,sample_every,block_index,n_blocks,frame_start_in_raw,frame_end_in_raw_inclusive,mc_step_start,mc_step_end,mc_step_center,n_frames,n_paired_beads,p_inv,zeta50,w_zeta_gt5,rho_median,rho_mean
912563,256,240000,15000,20,5,8,5626,7031,127520,155620,141570.0,1406,359936,0.9264591482930299,17.277647018432617,0.9093172119487909,1.6462562084197998,1.84019136428833
912563,256,240000,15000,20,6,8,7032,8437,155640,183740,169690.0,1406,359936,0.9249561033072546,17.312641143798828,0.9080864375889047,1.634434700012207,1.831344723701477
912563,256,240000,15000,20,7,8,8438,9843,183760,211860,197810.0,1406,359936,0.9282872510668563,17.234291076660156,0.9101923675320057,1.654134750366211,1.845085620880127
912563,256,240000,15000,20,8,8,9844,11249,211880,239980,225930.0,1406,359936,0.9249894425675675,17.30514907836914,0.9083948257467994,1.638611078262329,1.8315436840057373
912563,256,240000,30000,20,1,8,750,2062,30000,56240,43120.0,1313,336128,0.9272568783320639,17.236778259277344,0.9100074971439451,1.650996208190918,1.8409883975982666
912563,256,240000,30000,20,2,8,2063,3375,56260,82500,69380.0,1313,336128,0.9260073543412034,17.22022247314453,0.9093351342345773,1.6507368087768555,1.8454523086547852
912563,256,240000,30000,20,3,8,3376,4688,82520,108760,95640.0,1313,336128,0.9269950733054074,17.250486373901367,0.9098051932597105,1.650011658668518,1.846509337425232
912563,256,240000,30000,20,4,8,4689,6001,108780,135020,121900.0,1313,336128,0.9276971867859863,17.148483276367188,0.9104299552551409,1.663248062133789,1.8583686351776123
912563,256,240000,30000,20,5,8,6002,7313,135040,161260,148150.0,1312,335872,0.9250577600990854,17.34375,0.9086616330030488,1.6350407600402832,1.8266960382461548
912563,256,240000,30000,20,6,8,7314,8625,161280,187500,174390.0,1312,335872,0.9250577600990854,17.31305503845215,0.9078160727896342,1.6336768865585327,1.8297547101974487
912563,256,240000,30000,20,7,8,8626,9937,187520,213740,200630.0,1312,335872,0.9279606516768293,17.274776458740234,0.9101413633765244,1.6503084897994995,1.8415322303771973
912563,256,240000,30000,20,8,8,9938,11249,213760,239980,226870.0,1312,335872,0.9252959460746951,17.267032623291016,0.9084353563262195,1.6435134410858154,1.8369837999343872
912563,256,240000,60000,20,1,8,2250,3374,60000,82480,71240.0,1125,288000,0.9253819444444444,17.240129470825195,0.9090034722222222,1.6480200290679932,1.8435273170471191
912563,256,240000,60000,20,2,8,3375,4499,82500,104980,93740.0,1125,288000,0.9266076388888889,17.276735305786133,0.9099027777777777,1.6472954750061035,1.841481328010559
912563,256,240000,60000,20,3,8,4500,5624,105000,127480,116240.0,1125,288000,0.9269305555555556,17.17531967163086,0.90959375,1.658007025718689,1.8529627323150635
912563,256,240000,60000,20,4,8,5625,6749,127500,149980,138740.0,1125,288000,0.9268993055555556,17.238672256469727,0.9101215277777778,1.6538105010986328,1.8485208749771118
912563,256,240000,60000,20,5,8,6750,7874,150000,172480,161240.0,1125,288000,0.9257638888888889,17.34670639038086,0.9082708333333334,1.6313896179199219,1.8237217664718628
912563,256,240000,60000,20,6,8,7875,8999,172500,194980,183740.0,1125,288000,0.9270555555555555,17.19002342224121,0.9086770833333333,1.6511249542236328,1.8508353233337402
912563,256,240000,60000,20,7,8,9000,10124,195000,217480,206240.0,1125,288000,0.9266354166666667,17.301376342773438,0.9098680555555556,1.645786166191101,1.8349162340164185
912563,256,240000,60000,20,8,8,10125,11249,217500,239980,228740.0,1125,288000,0.9245138888888889,17.331674575805664,0.9080625,1.635042428970337,1.8272579908370972
